SourceFile,ByteOrderMark,CharacterSet,CodePage,CodeSize,CompanyName,CompObjUserType,CompObjUserTypeLen,Contributor,ContributorRole,CreateDate,Creation-date,Creator,CreatorFile-as,CreatorId,CreatorRole,Date,Description,DescriptionXmlns,Directory,Document-statisticCell-count,Document-statisticObject-count,Document-statisticTable-count,Editing-cycles,Editing-duration,EntryPoint,Error,ExifToolVersion,FileAccessDate,FileCreateDate,FileDescription,FileFlags,FileFlagsMask,FileModifyDate,FileName,FileOS,FilePermissions,FileSize,FileSubtype,FileType,FileTypeExtension,FileVersion,FileVersionNumber,Format,Generator,Guide,GuideReferenceHref,GuideReferenceTitle,GuideReferenceType,Identifier,IdentifierId,IdentifierScheme,ImageFileCharacteristics,ImageVersion,Initial-creator,InitializedDataSize,Language,LanguageCode,LastModifiedBy,LastPrinted,LegalCopyright,LineCount,LinkerVersion,MachineType,ManifestItemHref,ManifestItemId,ManifestItemMedia-type,ManifestItemProperties,Meta,MetaContent,MetaId,MetaName,MetaProperty,MetaRefines,MetaScheme,MIMEEncoding,MIMEType,ModificationDate,ModifyDate,Newlines,ObjectFileType,OSVersion,PEType,PreviewPNG,Print-date,Printed-by,ProductName,ProductVersion,ProductVersionNumber,PublicationDate,Publisher,RevisionNumber,Rights,Source,SourceId,SpineItemrefIdref,SpineItemrefLinear,SpinePage-progression-direction,SpineToc,Subject,Subsystem,SubsystemVersion,TemplateActuate,TemplateHref,TemplateTitle,TemplateType,TimeStamp,Title,TitleId,TotalEditTime,Tours,ToursTourId,ToursTourSiteHref,ToursTourSiteTitle,ToursTourTitle,Type,UninitializedDataSize,User-definedName,WordCount,ZoneIdentifier
JD_ROBB_Devoted_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.30.0) [http://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2015:09:15 04:00:00+00:00,"<div> <p style=""margin: 0px;"">It's a new year in New York city, and two star-crossed lovers have just discovered an insatiable appetite...for murder.</p> <p style=""margin: 0px;""><br></p> <p style=""margin: 0px;"">Lieutenant Eve Dallas has witnessed some grisly crimes in her career and she knows just how dark things can get on the streets. But when a much-loved musician is found dead, Eve soon realises that his murder is part of a horrifying killing spree, stretching right across the country.</p> <p style=""margin: 0px;""><br></p> <p style=""margin: 0px;"">Now the killers have reached New York, and they've found themselves another victim. Eve knows she only has a couple of days to save a young girl's life, and to stop the killers before their sadistic games escalate. Eve's husband Roarke is ready to put his brains and his considerable resources behind the search. But even as the couple works closely together, time is running out...</p></div>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:31:55-05:00,JD_ROBB_Devoted_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,332 kB,,EPUB,epub,,,,,,Text/0005.html#3Q287-6d0b084083bc4026ab84485b89fb75bf,start,text,d17d4f29-3688-481d-b901-5df7740a8085,uuid_id,ISBN,,,,,en,,,,,,,,Images/cover.jpeg,cover,image/jpeg,,,2015:09:15 00:05:15.965000+00:00,,calibre:timestamp,,,,,application/epub+zip,2015:09:14,,,,,,,,,,,,,"Little, Brown Book Group",,Copyright © 2015 by Nora Roberts,,,titlepage,,,ncx,,,,,,,,,Devoted in Death,,,,,,,,,,,,Exists
JD_ROBB_Divided_in_death_-_Nora_Roberts.epub,,,,,,,,calibre (2.36.0) [http://calibre-ebook.com],bkp,,,Nora Roberts; J. D. Robb,"Robb, Nora Roberts; J. D.",,aut,2004:02:26 20:48:44+00:00,"EDITORIAL REVIEW: Killing was too good for him. She wanted him to beg and plead like the gutter rat he wasshe wanted him to bleed and screamonly then the bastard could die. A slow, withering, agonizing death. Nobody, nobody cheated on Reva Ewing.' Roarke's security specialist Reva Ewing is the prime suspect in a double homicide - accused of killing her adulterous husband and his lover - the woman Reva thought was her best friend. But despite having every reason for wanting both of them dead, Reva protests her innocence and Lieutenant Eve Dallas believes her. At the time of the murders, Reva's husband's computer system was also sabotaged. To Roarke, it's the computer attack that poses the real threat. Roarke Industries have been working on a top secret government contract to develop a program that would shield against a new breed of hackers. The Doomsday Group are techno-terrorists who attack systems, steal data, and corrupt computer units on a large scale - and they kill anyone who gets too close.",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:24:37-05:00,JD_ROBB_Divided_in_death_-_Nora_Roberts.epub,,-rw-rw-rw-,377 kB,,EPUB,epub,,,,,,titlepage.xhtml,Cover,cover,349a4b2b-c949-4de0-a7f4-bff619f78bb6,uuid_id,ISBN,,,,,en,,,,,,,,cover.jpeg,cover,image/jpeg,,,cover,,cover,,,,,application/epub+zip,,,,,,,,,,,,,,Piatkus,,,,,titlepage,,,ncx,,,,,,,,,Divided in death,,,,,,,,,,,,Exists
JD_ROBB_Echoes_in_Death_-_JD_Robb.epub,,,,,,,,,,,,J.D. Robb,,id,,2017:02:07 08:00:00+00:00,,,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:32:30-05:00,JD_ROBB_Echoes_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,910 kB,,EPUB,epub,,,,,,Text/contents.xhtml,Contents,toc,urn:uuid:c17eecf1-8249-4d6f-8b39-49cce496c16f,pub-id,,,,,,en-US,,,,,,,,Text/cover.xhtml,html-cover-page,application/xhtml+xml,nav,main,cover-image,auth,cover,title-type,#title,marc:relators,,application/epub+zip,,,,,,,,,,,,,,St. Martin’s Press,,All rights reserved,,,html-cover-page,no,ltr,toc,,,,,,,,,Echoes in Death,title,,,,,,,,,,,Exists
JD_ROBB_Encore_in_Death_-_JD_Robb.epub,,,,,,,,,,,,J. D. Robb,,creator,,,"<p><b>The homicide cop with a passion for justice returns in the captivating crime thriller series by the #1<i> New York Times</i> bestselling author.</b><br>It was a glittering event full of A-listers, hosted by Eliza Lane and Brant Fitzhugh, a celebrity couple who'd conquered both Hollywood and Broadway. And now Eve Dallas has made her entrance&#8212;but not as a guest. After raising a toast, Fitzhugh fell to the floor and died, with physical symptoms pointing to cyanide, and the police have crashed the party.<br>From all accounts, he wasn't the kind of star who made enemies. Everyone loved him&#8212;even his ex-wife. And since the champagne cocktail that killed him was originally intended for Eliza, it's possible she was the real target, with a recently fired assistant, a bitter rival, and an obsessed fan in the picture. With so many attendees, staff, and servers, Eve has her work cut out determining who committed murder in the middle of the crowd&#8212;and what was their...",http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:36:49-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:18:39-05:00,JD_ROBB_Encore_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,4.6 MB,,EPUB,epub,,,,,,xhtml/cover.xhtml,Begining,start,9781250284310,uid,,,,,,en-US,,,,,,,,nav.xhtml,nav,application/xhtml+xml,nav,main,cover-image,auth,cover,title-type,#title,onix:codelist5,,application/epub+zip,,,,,,,,,,,,,,St. Martin's Publishing Group,,All rights reserved,urn:isbn:9781250284082,src-id,html-cover-page,no,ltr,toc,,,,,,,,,Encore in Death,title,,,,,,,,,,,Exists
JD_ROBB_Eternity_in_Death_-_J_D_Robb.epub,,,,,,,,calibre (2.13.0) [http://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2013:06:06 17:02:45.160000+00:00,"Fear, revenge and deadly superstition collide in these two exclusive J. D. Robb short stories.  Haunted in Death  Lieutenant Eve Dallas doesn't believe in ghosts. But when a very recent corpse shows up in a haunted abandoned nightclub, alongside the bones of the famous missing singer, Bobbie Bray, everyone is spooked - especially the new owner.  Did Bobbie's ghost finally get her revenge, or is there a more earthly explanation?  Set between Memory in Death and Born in Death.  Eternity in Death  When notorious it-girl Tiara Kent is found dead in her plush Manhattan apartment, the murder looks to everyone like a vampire attack - everyone but the ever-practical Lieutenant Eve Dallas. As the hysteria spreads, Eve must act fast.   Discovering Tiara's secret lover, a Dark Prince, Eve and her team are led on a chase into the darkest corners of the city and deep into their own fears.  Set between Creation in Death and Strangers in Death.",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:24:05-05:00,JD_ROBB_Eternity_in_Death_-_J_D_Robb.epub,,-rw-rw-rw-,95 kB,,EPUB,epub,,,,,,titlepage.xhtml,Cover,cover,de4451b7-88a9-4676-9a69-57c5fc41dd4d,uuid_id,GOOGLE,,,,,en,,,,,,,,cover.jpeg,cover,image/jpeg,,,cover,,cover,,,,,application/epub+zip,,,,,,,,,,,,,,Hachette UK,,,,,titlepage,,,ncx,"Fiction, Mystery & Detective, General",,,,,,,,Haunted in Death/Eternity in Death,,,,,,,,,,,,Exists
JD_ROBB_Eternity_in_Death_Dutch_Edition_-_Roberts_Nora.epub,,,,,,,,calibre (0.7.43) [http://calibre-ebook.com],bkp,,,Nora Roberts; J. D. Robb,"Robb, Nora Roberts; J. D.",,aut,2007:10:30 07:00:00+00:00,"SUMMARY: Nora Roberts, writing as J.D. Robb, puts futuristic lieutenant Eve Dallas in a supernatural showdown with a most seductive criminal: a vampire. An ancient coin whisks an American woman and a modern-day earl into the past-and into each other's arms-in a stirring tale from Mary Blayney. When a city girl visits a Scottish castle in Ruth Ryan Langan's story, she is thrust into a timeless romance with a mighty Highland laird. And Mary Kay McComas gives an unhappy wife a magic-carpet ride into an alternate reality to show her the grass isn't always greener.",,.,,,,,,,,12.93,2024:12:18 01:39:00-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:15:12-05:00,JD_ROBB_Eternity_in_Death_Dutch_Edition_-_Roberts_Nora.epub,,-rw-rw-rw-,279 kB,,EPUB,epub,,,,,,titlepage.xhtml,Cover,cover,db16ac80-efcb-4f90-89d2-30b8837caa75,uuid_id,ISBN,,,,,nl,,,,,,,,Eternity_in_Death.html,id1,application/xhtml+xml,,,2011:02:01 17:18:13.067000+00:00,,calibre:timestamp,,,,,application/epub+zip,,,,,,,,,,,,,,Jove,,,,,titlepage,,,ncx,"General, Time travel, Fiction, Crime & mystery, Crime & Thriller, Romance, Romance - General, Political, Fiction - Romance, American Light Romantic Fiction, Vampires, Romance: Modern, Romance - Anthologies, Marriage, Occult fiction",,,,,,,,Eternity in Death,,,,,,,,,,,,Exists
JD_ROBB_Faithless_in_Death_-__JD_Robb_.epub,,,,,,,,,,,,J. D. Robb,,creator,,,"<p><b>In the new Eve Dallas police thriller from #1 <i>New York Times</i>-bestselling author J. D. Robb, what looked like a lover's quarrel turned fatal has larger&#8212;and more terrifying&#8212;motives behind it...</b><br>The scene in the West Village studio appears to be classic crime-of-passion: two wineglasses by the bed, music playing, and a young sculptor named Ariel Byrd with the back of her head bashed in. But when Dallas tracks down the wealthy Upper East Side woman who called 911, the details don't add up. Gwen Huffman is wealthy, elegant, comforted by her handsome fiancé as she sheds tears over the trauma of finding the body&#8212;but why did it take an hour to report it? And why is she lying about little things?<br>As Eve and her team look into Gwen, her past, and the people around her, they find that the lies are about more than murder. As with sculpture, they need to chip away at the layers of deception to find the shape within&#8212;and soon they're getting the FBI...",http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:36:49-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:19:55-05:00,JD_ROBB_Faithless_in_Death_-__JD_Robb_.epub,,-rw-rw-rw-,4.3 MB,,EPUB,epub,,,,,,xhtml/cover.xhtml,Begining,start,9781250272751,uid,,,,,,en-US,,,,,,,,nav.xhtml,nav,application/xhtml+xml,nav,15,cover-image,auth,cover,identifier-type,#uid,onix:codelist5,,application/epub+zip,,,,,,,,,,,,,,St. Martin's Publishing Group,,All rights reserved,urn:isbn:9781250272744,src-id,html-cover-page,no,ltr,toc,,,,,,,,,Faithless in Death,title,,,,,,,,,,,Exists
JD_ROBB_Festive_in_Death_-_JD_Robb.epub,,,,,,,,calibre (3.30.0) [https://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2014:09:09 05:00:00+00:00,"<div><p><strong>Eve Dallas deals with a homicide—and the holiday season—in this thrilling In Death novel from #1 <em>New York Times</em> bestselling author J. D. Robb.</strong>  </p>
<p>Personal trainer Trey Ziegler was in peak physical condition. If you didn’t count the kitchen knife in his well-toned chest.  </p>
<p>Lieutenant Eve Dallas soon discovers a lineup of women who were loved and left by the narcissistic gym rat. While Dallas sorts through the list of Ziegler’s enemies, she’s also dealing with her Christmas shopping list—plus the guest list for her and her billionaire husband’s upcoming holiday bash.  </p>
<p>Feeling less than festive, Dallas tries to put aside her distaste for the victim and solve the mystery of his death. There are just a few investigating days left before Christmas, and as New Year’s 2061 approaches, this homicide cop is resolved to stop a cold-blooded killer.  </p>
<p><em>From the Paperback edition.</em></p>
<p>**</p><h3>Review</h3>
<p>“Tis the season for holidays and murder in the next installment of Robb’s incomparable In Death series...From kick-ass murder cop to society hostess, thankfully for readers Eve’s life is never dull!”—*RT Book Reviews  </p>
<p><em>“J. D. Robb continues to do a fine job balancing Eve the woman against Eve the career homicide detective...That may be why the series works for adventure after adventure after adventure.”—New York Journal of Books</em>*  </p>
<p>More Praise for the In Death series**  </p>
<p>“Robb is a virtuoso.”—<em>Seattle</em><em> Post-Intelligencer</em>  </p>
<p>“It’s <em>Law &amp; Order: SVU</em>—in the future.”—<em>Entertainment Weekly<br>
</em><br>
“J. D. Robb’s In Death novels are can’t-miss pleasures.”—#1<em> New York Times</em> bestselling author Harlan Coben   </p>
<p>“Anchored by terrific characters, sudden twists that spin the whole narrative on a dime, and a thrills-to-chills ration that will raise the neck hairs of even the most jaded reader, the J. D. Robb books are the epitome of great popular fiction.”—<em>New York Times </em>bestselling author Dennis Lehane  </p>
<h3>About the Author</h3>
<p><strong>J. D. Robb</strong> is the pseudonym for a #1 <em>New York Times</em> bestselling author of more than 200 novels, including the bestselling In Death series. There are more than 500 million copies of her books in print.</p></div>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:34:06-05:00,JD_ROBB_Festive_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,810 kB,,EPUB,epub,,,,,,Text/part0004.xhtml,Start,text,9780515154153,uid,calibre,,,,,en-CA,,,,,,,,Images/cover.jpeg,cover,image/jpeg,,,utf-8,,output encoding,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin,,,,,titlepage,,,ncx,"Mystery, Romance",,,,,,,,Festive in Death,,,"
    ",,,,,,,,,Exists
JD_ROBB_Forgotten_in_Death_-_JD_Robb.epub,,,,,,,,,,,,J. D. Robb,,creator,,,"In the latest novel in the #1 <i>New York Times</i> bestselling series, homicide detective Eve Dallas sifts through the wreckage of the past to find a killer.",http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:36:49-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:17:12-05:00,JD_ROBB_Forgotten_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,5.3 MB,,EPUB,epub,,,,,,xhtml/cover.xhtml,Begining,start,9781250272829,uid,,,,,,en-US,,,,,,,,nav.xhtml,nav,application/xhtml+xml,nav,15,cover-image,auth,cover,identifier-type,#uid,onix:codelist5,,application/epub+zip,,,,,,,,,,,,,,St. Martin's Publishing Group,,All rights reserved,urn:isbn:9781250272812,src-id,html-cover-page,no,ltr,toc,,,,,,,,,Forgotten in Death,title,,,,,,,,,,,Exists
JD_ROBB_Glory_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 02 - Glory in Death,"Robb, J. D.",,aut,2006:01:01 16:00:00+00:00,"<p>J.D. Robb is the pseudonym for author Nora Roberts, who has created yet another memorable heroine in Police Lieutenant Eve Dallas. This New York Times bestselling author's latest novel deftly blends romantic suspense and futuristic technology to create a unique, unforgettable story.</p>",http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:34:26-05:00,JD_ROBB_Glory_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,387 kB,,EPUB,epub,,,,,,GloryInDeath_full-toc.html,Table of Contents,toc,r/j-d-robb/glory-in-death,ID1,calibre,,,,,en,,,,,,,,toc.ncx,ncx,application/x-dtbncx+xml,,,Glory in Death,,calibre:title_sort,,,,,application/epub+zip,,,,,,,,,,,,,,Thorndike Press,,,,,titlepage,no,,ncx,,,,,,,,,Glory in Death,,,,chaptertour,GloryInDeath_full-body.html#TOCREF-1,CHAPTER ONE,Chapter Tour,Fiction,,,,Exists
JD_ROBB_Golden_in_Death_-_J_D_Robb.epub,,,,,,,,,,,,"Robb, J. D.",,,,,,,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:23:03-05:00,JD_ROBB_Golden_in_Death_-_J_D_Robb.epub,,-rw-rw-rw-,534 kB,,EPUB,epub,,,,,,Text/part0000.xhtml,Start of Content,text,1220084008,uid,,,,,,en,,,,,,,,Text/cover_page.xhtml,x_html-cover-page,application/xhtml+xml,,,x_cover-image,,cover,,,,,application/epub+zip,,,,,,,,,,,,,2020:02:04,St. Martin's Publishing Group,,All rights reserved,urn:isbn:9781250207203,,x_html-cover-page,no,ltr,ncx,,,,,,,,,Golden in Death,,,"
",,,,,,,,,Exists
JD_ROBB_Haunted_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 22.50 - Haunted in Death,"Robb, J. D.",,aut,2005:12:31 16:00:00+00:00,"<div><h3>From Publishers Weekly</h3><p>A talky, tepid entry from Robb/Roberts sets the stage for a disjointed and mostly disappointing collection of paranormal romances. Only Robb's and Ryan's stories adhere to the volume's ""bump in the night"" theme, and they are the weakest by far. The former, which centers on a murder in a haunted house, substitutes tough cop talk between series detective Eve Dallas and her assistant for verve and suspense; the latter spins a by-the-numbers romance between two workaholics who find love and inner peace while relaxing near a haunted lake. The remaining stories feature a sunnier atmosphere and more well-developed protagonists. Blayney tells a sweet if conventional 19th-century romance in which a young girl's magic coin helps a widow and a down-on-his-luck officer find happiness. But it's the inventive contribution from relative unknown McComas, about a woman who changes her life for the better with the help of her handsome imaginary friend, that steals the show. McComas focuses on the most important relationship of all—the relationship one has with oneself—and spins an introspective and irresistible story that, for some readers, may make this collection worthwhile. <em>(Apr.)</em> <br>Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved. </p><h3>About the Author</h3><p>J.D. Robb is the pseudonym for a number one <em>New York Times</em> bestselling author of more than 190 novels, including the futuristic suspense In Death series. There are more than 400 million copies of her books in print.</p></div>

<span class=""synopsis"">Number Twelve is an urban legend in 2060 New York City. The hot club in the 1960s, it is now reported to be haunted and cursed. Lieutenant Eve Dallas is called there to investigate the apparent murder of Radcliff Hopkins, its new owner and the grandson of the man who made Number Twelve a cultural icon. Several bullets from a banned gun end his dream of returning the building to its former glory.<br> <br> With everyone around her talking about the supernatural, pragmatic Eve won't let rumors of ghosts distract her from hard evidence. The case becomes even more bizarre when it appears to be linked to the suspicious disappearance of a rock star eighty-five years ago. As Eve searches for the connection, logic clashes with the unexplainable. She may be forced to face the threat of something more dangerous than a flesh-and-blood killer.</span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:34:47-05:00,JD_ROBB_Haunted_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,294 kB,,EPUB,epub,,,,,,Text/contents.xhtml,Table of Contents,toc,b/mary-blayney/bump-in-night,uuid_id,uuid,,,,,en,,,,,,,,Images/GlobalBackad.jpg,GlobalBackad.jpg,image/jpeg,,,Haunted in Death,,calibre:title_sort,,,,,application/epub+zip,2013:09:25,,,,,,,,,,,,,Jove,,Copyright © 2008 by Nora Roberts.,,,titlepage1,no,,ncx,"Fiction, Romance - Anthologies, Eve (Fictitious character), Dallas, Fantasy Fiction, Romance: Modern, New York (N.Y.), Political, General, Romance, Fantasy, Love Stories, Romance - General, Policewomen, Short Stories, Romance - Fantasy, Fiction - Romance",,,,,,,,Haunted in Death,,,,,,,,,,,,Exists
JD_ROBB_Holiday_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 07 - Holiday in Death,"Robb, J. D.",,aut,1997:12:31 16:00:00+00:00,"<div><h3>Amazon.com Review</h3><p>In the seventh of J.D. Robb's futuristic romance thrillers, NYPD Lieutenant Eve Dallas is on the trail of a serial killer terrorizing the city during the holidays. The only link between the victims--all are patrons of an exclusive dating service, Personally Yours. Working with her aide Officer Peabody, Peabody's nemesis Ian McNab, and her own intriguing husband, Roarke, Eve uncovers secrets that link the victims: secrets that involve both the owners and the clients of Personally Yours and which might be worth killing for. Whether she's writing as Nora Roberts or as J.D. Robb, Roberts weaves a taut and powerful story with lush sensuality and masterful characterization. This murder mystery combines elements of romance, science fiction, and police procedural genres in an entertaining mix that will keep readers turning the pages. <em>--Lisa Wanttaja</em></p><h3>From Publishers Weekly</h3><p>The year is 2058. Guns are banned and medical science has learned how to prolong life to well beyond the century mark. And man has yet to stop killing man. At Cop Central, it's Lieutenant Eve Dallas's job to stand up for the dead. So begins the seventh riveting installment in Robb's (aka Nora Roberts) futuristic romantic suspense series (following Vengeance in Death). With Christmas only weeks away, Eve is stressing out trying to find the right gift for her new husband, Rourke, who ""not only had everything, but owned most of the plants and factories that made it."" More to her concern is the latest serial killer who is using ""The Twelve Days of Christmas"" as a theme for his heinous rape and murder spree. The case touches Eve on a personal level, and while flash-backs from her abusive childhood are flinchingly repetitious, it defines Eve's gritty, hard-boiled character and validates her obsessive determination to bring down the killer any way she can. <br>Copyright 1998 Reed Business Information, Inc. </p></div>

<span class=""synopsis"">IN A FUTURE WHEN COMPUTER TECHNOLOGY BRINGS LOVERS TOGETHER, DATING CAN BE A DEADLY GAME...<br> <br> No one likes to be alone during the holidays. And for New York's most posh dating service, Personally Yours, it is the season to bring lonely hearts together. But Lieutenant Eve Dallas, on the trail of a ritualistic serial killer, has made a disturbing discovery: All of the killer's victims have been traced to Personally Yours. As the murders continue, Eve enters an elite world of people searching for their one true love - and a killer searching for his next victim. A world where the power of love leads men and women into the ultimate act of betrayal...</span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:36:45-05:00,JD_ROBB_Holiday_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,494 kB,,EPUB,epub,,,,,,../titlepage.xhtml,Cover,cover,r/j-d-robb/holiday-in-death,uuid_id,uuid,,,,,en,,,,,,,,Text/HOLIDAYINDEATH_full-body_10.html,a11,application/xhtml+xml,,,Holiday in Death,,calibre:title_sort,,,,,application/epub+zip,2013:09:24,,,,,,,,,,,,,Thorndike Pr,,Copyrights as per source stories,,,titlepage,,,ncx,"Dallas, Fiction, Romance, Women Sleuths, Mystery & Detective - Women Sleuths, Murder, Eve (Fictitious character), New York (N.Y), New York (N.Y.), Policewomen, Romance - Suspense, Dallas; Eve (Fictitious Character), Large Type Books, Police Procedural, Man-Woman Relationships, Detective, Mystery & Detective, American Mystery & Suspense Fiction, Fiction - Mystery, Contemporary, New York, Suspense, Gothic, Dating Services, Mystery & Detective - Police Procedural, New York (State)",,,,,,,,Holiday in Death,,,,,,,,,,,,Exists
JD_ROBB_Imitation_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 17 - Imitation in Death,"Robb, J. D.",,aut,1997:01:01 16:00:00+00:00,"<div><div><h3>Amazon.com Review</h3><p>Police Lieutenant Eve Dallas encounters one of her most difficult cases in this latest offering from J. D. Robb, alter ego of bestselling author Nora Roberts. With the very first victim, Eve realizes that the killer stalking the streets of New York City isn't a run-of-the-mill serial murderer. The copycat executions are imitating the methods and victim choices of an ominous list of notorious serial killers, beginning with Jack the Ripper. And when the killer leaves a distinctive note at the crime scene, it's clear that he's targeting Eve personally--a fact that worries Roarke, Eve's shrewd husband. </p><p>Assisted by her aide, Peabody, Eve compiles a list of suspects that includes several high-profile possibilities. Their very prominence, however, complicates the investigation, for they have the power and influence to make the search difficult. All of the suspects are reluctant to cooperate but one of them is playing with Eve like a cat with a mouse by tempting her with crime scene notes and challenging her to find him. Can Eve stop him before he slaughters again? Or will his next victim be Eve herself?</p><p>Author Robb, a.k.a. Roberts, doesn't miss a beat in this police procedural thriller. The futuristic setting is rich with imaginative details; the cast of supporting characters offers an intriguing variety, while Eve and Roarke's relationship is layered with emotional intimacy and spiced with sex. Whether you're a faithful follower or new to the series, you won't be disappointed in the edge-of-the-seat suspense in <em>Imitation In Death</em>. Don't miss this one. <em>--Lois Faye Dyer</em></p><h3>From Publishers Weekly</h3><p>The latest entry in Robb's series of feisty futuristic mysteries (after Portrait in Death) delivers. This time, Lt. Eve Dallas shows up to investigate the grisly killing of a New York City prostitute only to find a note from the killer on the body. Signed ""Jack,"" the note taunts Eve by name and affirms what she has already guessed-that the murder was specifically planned to imitate Jack the Ripper. Purchasers of the costly foreign stationery that the killer used-a crime writer, a top diplomat and a famous musician-become Eve's suspects. As she investigates them, a second killing occurs, this time in the manner of the Boston Strangler. Aided by her faithful second-in-command, Peabody (who's nervously awaiting her detective's exam), and supported by her handsome husband Roarke, Eve scours both the country and the past for clues. The solution to the puzzle is far less intriguing than the copycat-killer premise, and readers might wonder why detection in the year 2059 is so low-tech-where, for example, are DNA and forensic testing? As always, however, Robb's delightfully snappy dialogue, playful sexuality and whirlwind pacing will keep readers captivated. <br>Copyright 2003 Reed Business Information, Inc. </p></div>

<p>The <i>New York Times</i> Bestselling series</p><p>The brand-new Lt. Eve Dallas novel...first time in print!</p></div>

<span class=""synopsis"">'No matter how many times you looked at the horror man inflicted on man, you never saw it all. As Lieutenant Eve Dallas stood over what had once been a woman, she wondered when she would see worse than this...'<br> <br> The summer of 2059 is drawing to a sweaty close when a man wearing a cape and a top hat approaches a prostitute on a dark New York City street. Minutes later, the woman is dead. A killer makes his debut with the slashing and mutilation of a prostitute. Left at the scene is a letter addressed to Lieutenant Eve Dallas, commending her work and inviting her to play his game... and unveil his identity. He signs it ""Jack.""<br> <br> Now Eve is in pursuit of a murderer who knows as much about the history of serial killers as she does. He has studied the most notorious and the most vicious slayings in modem time, and he's paying homage to some of history's most vicious, and infamous, killers, beginning with Jack the Ripper. But he also wants to make his own mark. But who will he choose to emulate next? And will Eve be able to stop him before he decides to finish the game by coming after her?</span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:27:27-05:00,JD_ROBB_Imitation_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,540 kB,,EPUB,epub,,,,,,../titlepage.xhtml,Cover,cover,{303A5404-D5A1-49BD-9C77-3ED1FFBCD51F},uuid_id,uuid,,,,,en,,,,,,,,Images/logo.jpg,a30,image/jpeg,,,Imitation in Death,,calibre:title_sort,,,,,application/epub+zip,2013:09:24,,,,,,,,,,,,,Penguin,,Copyrights as per source stories,,,titlepage,,,ncx,"Fiction, Police Procedural, Police, Mystery & Detective, New York (N.Y.), Political, Contemporary, Police - New York (State) - New York, Policewomen, Romance, Romantic Suspense Fiction, Mystery Fiction, Dallas; Eve (Fictitious Character), General, Women Sleuths",,,,,,,,Imitation in Death,,,,,,,,,,,,Exists
